Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3
¿Cuál es el elemento químico con mayor electronegatividad?,Flúor,Oxígeno,Nitrógeno,Cloro
¿Quién fue el primer matemático en demostrar el último teorema de Fermat?,Andrew Wiles,Leonhard Euler,Carl Gauss,Pierre de Fermat
¿Cuál es el idioma con más hablantes nativos en el mundo?,Chino mandarín,Inglés,Hindi,Español
¿Qué país tiene más volcanes activos en el mundo?,Indonesia,Japón,Italia,México
¿Qué escritor francés fue condenado al exilio por Napoleón III?,Victor Hugo,Voltaire,Émile Zola,Jean-Paul Sartre
¿Qué número es considerado el más pequeño primo de Mersenne?,3,2,7,5
¿Cuál fue la civilización que construyó la ciudad de Machu Picchu?,Inca,Azteca,Maya,Olmeca
¿En qué país se originó el ajedrez moderno?,India,España,China,Persia
¿Cuál es el hueso más largo del cuerpo humano?,Fémur,Húmero,Tibia,Peroné
¿Quién compuso la ópera 'La flauta mágica'?,Mozart,Beethoven,Wagner,Vivaldi
¿Cuál es la capital de Mongolia?,Ulán Bator,Astana,Bakú,Taskent
¿Qué científico propuso la hipótesis del 'átomo indivisible' en la antigua Grecia?,Demócrito,Platón,Anaximandro,Tales de Mileto
¿Qué año cayó Constantinopla ante los otomanos?,1453,1492,1402,1517
¿Qué país fue el primero en permitir el sufragio femenino?,Nueva Zelanda,Estados Unidos,Canadá,Noruega
¿Qué poeta escribió 'Altazor o el viaje en paracaídas'?,Vicente Huidobro,Pablo Neruda,Octavio Paz,Rubén Darío
¿Qué científico formuló la ley de la gravitación universal?,Isaac Newton,Albert Einstein,Galileo Galilei,Johannes Kepler
¿En qué país se encuentra el desierto de Gobi?,China y Mongolia,Irán y Afganistán,Kazajistán y Rusia,Túnez y Libia
¿Qué país inventó el papel moneda?,China,Grecia,India,Italia
¿Cuál es el animal nacional de Escocia?,Unicornio,Caballo,Águila,Dragón
¿Cuál fue la primera civilización en utilizar la escritura cuneiforme?,Sumerios,Babilonios,Egipcios,Fenicios
